symbol,Market Capitalization (in Crores),,,
DELTACORP,8968.29,,,
DEN,2224.01,,,
DENORA,234.67,,,
DEVYANI,,,,
DHAMPURSUG,1286.59,,,
DHANBANK,650.24,,,
DHANI,10685.95,,,
DHANUKA,3395.48,,,
DHARMAJ,,,,
DHUNINV,258.83,,,
DIAMINESQ,107.96,,,
DIAMONDYD,2852.48,,,
DIGISPICE,475.10,,,
DISHTV,7856.27,,,
DIVGIITTS,,,,
DIVISLAB,27340.61,,,
DIXON,3978.62,,,
DLF,40917.65,,,
DLINKINDIA,438.66,,,
DMART,72740.17,,,
DMCC,258.88,,,
DODLA,,,,
DOLATALGO,187.26,,,
DOLLAR,2288.19,,,
DOLPHIN,165.21,,,
DOMS,,,,
DONEAR,335.14,,,
DPABHUSHAN,162.57,,,
DPSCLTD,2897.02,,,
DPWIRES,101.08,,,
DREAMFOLKS,,,,
DREDGECORP,2068.64,,,
DRREDDY,36147.41,,,
DSSL,26.94,,,
DVL,508.03,,,
DWARKESH,763.56,,,
DYCL,116.67,,,
DYNAMATECH,1130.43,,,
E2E,,,,
EASEMYTRIP,,,,
ECLERX,5349.16,,,
EDELWEISS,23667.57,,,
EICHERMOT,76580.77,,,
EIDPARRY,5778.89,,,
EIHAHOTELS,1371.07,,,
EIHOTEL,10291.11,,,
EIMCOELECO,290.96,,,
EKC,645.19,,,
ELDEHSG,440.92,,,
ELECON,940.80,,,
ELECTCAST,1167.24,,,
ELGIEQUIP,5301.10,,,
ELIN,,,,
EMAMILTD,25306.89,,,
EMAMIPAP,1163.70,,,
EMIL,,,,
EMSLIMITED,,,,
EMUDHRA,,,,
ENDURANCE,16716.37,,,
ENGINERSIN,10764.61,,,
ENIL,3326.92,,,
ENTERO,,,,
EPACK,,,,
EPIGRAL,,,,
EPL,4329.57,,,
EQUITASBNK,,,,
ERIS,10575.13,,,
ESABINDIA,1268.38,,,
ESAFSFB,,,,
ESCORTS,7451.65,,,
ESSARSHPNG,539.17,,,
ESTER,525.80,,,
ETHOSLTD,,,,
EVEREADY,2778.47,,,
EVERESTIND,871.83,,,
EXCELINDUS,1124.70,,,
EXICOM,,,,
EXIDEIND,17862.75,,,
EXPLEOSOL,571.29,,,
FACT,3167.42,,,
FAIRCHEMOR,,,,
FAZE3Q,201.60,,,
FCL,751.28,,,
FCSSOFT,59.83,,,
FDC,4971.32,,,
FEDERALBNK,18658.60,,,
FEDFINA,,,,
FIEMIND,1191.29,,,
FILATEX,858.91,,,
FILATFASH,9.30,,,
FINCABLES,10340.23,,,
FINEORG,,,,
FINOPB,,,,
FINPIPE,8715.84,,,
FIVESTAR,,,,
FLAIR,,,,
FLUOROCHEM,,,,
FMGOETZE,2971.03,,,
FOCUS,40.13,,,
FOODSIN,249.08,,,
FORCEMOT,3958.54,,,
FORTIS,6537.55,,,
FOSECOIND,1060.09,,,
FSL,2828.01,,,
FUSION,,,,
GABRIEL,2334.21,,,
GAEL,2766.93,,,
GAIL,78112.84,,,
GALAXYSURF,6028.90,,,
GALLANTT,320.41,,,
GANDHAR,,,,
GANDHITUBE,600.66,,,
GANECOS,706.48,,,
GANESHBE,434.47,,,
GANESHHOUC,711.56,,,
GARFIBRES,2174.31,,,
GATEWAY,,,,
GEECEE,306.24,,,
GENESYS,870.93,,,
GENSOL,,,,
GENUSPAPER,338.12,,,
GENUSPOWER,1877.77,,,
GEOJITFSL,2340.87,,,
GEPIL,5824.59,,,
GESHIP,5864.47,,,
GET&D,10601.61,,,
GFLLIMITED,8572.14,,,
GHCL,3125.38,,,
GHCLTEXTIL,,,,
GICHSGFIN,2191.20,,,
GICRE,66487.00,,,
GILLETTE,21076.61,,,
GIPCL,1867.20,,,
GLAND,,,,
GLAXO,20769.60,,,
GLENMARK,16354.47,,,
GLOBUSSPR,390.66,,,
GLOSTERLTD,,,,
GMBREW,1324.68,,,
GMDCLTD,4552.17,,,
GMMPFAUDLR,1033.75,,,
GMRAIRPORT,11644.72,,,
GMRP&UI,,,,
GNA,927.09,,,
GNFC,7100.31,,,
GOACARBON,794.77,,,
GOCLCORP,2982.53,,,
GOCOLORS,,,,
GODFRYPHLP,4459.26,,,
GODIGIT,,,,
GODREJAGRO,11324.89,,,
GODREJCP,69328.69,,,
GODREJIND,18568.79,,,
GODREJPROP,17806.50,,,
GOKEX,360.71,,,
GOKULAGRO,352.82,,,
GOLDIAM,191.71,,,
GOLDTECH,27.33,,,
GOODLUCK,251.23,,,
GOPAL,,,,
GPIL,1706.84,,,
GPPL,7079.98,,,
GPTHEALTH,,,,
GPTINFRA,540.27,,,
GRANULES,3009.01,,,
GRAPHITE,13274.79,,,
GRASIM,72875.28,,,
GRAVITA,1072.82,,,
GREAVESCOT,3197.89,,,
GREENLAM,2861.13,,,
GREENPANEL,,,,
GREENPLY,4452.60,,,
GREENPOWER,958.04,,,
GRINDWELL,5562.57,,,
GRINFRA,,,,
GRMOVER,95.37,,,
GRPLTD,181.71,,,
GRSE,,,,
GRWRHITECH,429.45,,,
GSFC,5180.21,,,
GSLSU,,,,
GSPL,11690.57,,,
GTLINFRA,6695.66,,,
GTPL,1877.57,,,
GUFICBIO,942.12,,,
GUJALKALI,5362.00,,,
GUJGASLTD,11701.26,,,
GULFOILLUB,5033.11,,,
GVKPIL,3095.25,,,
HAL,,,,
HAPPSTMNDS,,,,
HAPPYFORGE,,,,
HARDWYN,,,,
HARIOMPIPE,,,,
HARSHA,,,,
HATHWAY,3234.78,,,
HATSUN,11716.96,,,
HAVELLS,32563.98,,,
HBLENGINE,1642.38,,,
