Stock Symbol,Indices,,,
XCHANGING,BSE IT,,,
XPROINDIA,INDSTR,,,
YASHO,COMDTY,,,
YATHARTH,BSE HC,,,
YATRA,CDGS,,,
YESBANK,FIN,,,
YUKEN,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
ZAGGLE,BSE IT,,,
ZEEL,"CDGS, TECK",,,
ZEEMEDIA,"CDGS, TECK",,,
ZENSARTECH,BSE IT,,,
ZENTEC,INDSTR,,,
ZFCVINDIA,CDGS,,,
ZIMLAB,BSE HC,,,
ZOMATO,CDGS,,,
ZOTA,BSE HC,,,
ZUARI,COMDTY,,,
ZUARIIND,"COMDTY, BSEFMC",,,
ZYDUSLIFE,BSE HC,,,
ZYDUSWELL,BSEFMC,,,
