Stock Symbol,Indices,,,
DIGISPICE,"BSE IT, TECK, CDGS, FIN",,,
DISHTV,CDGS,,,
DIVGIITTS,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
DIVISLAB,BSE HC,,,
DIXON,"CDGS, BSE CD",,,
DLF,"CDGS, REALTY",,,
DLINKINDIA,BSE IT,,,
DMART,CDGS,,,
DMCC,COMDTY,,,
DODLA,BSEFMC,,,
DOLATALGO,FIN,,,
DOLLAR,CDGS,,,
DOLPHIN,"OILGAS, ENERGY",,,
DOMS,BSEFMC,,,
DONEAR,"CDGS, REALTY, BSE CG, INDSTR",,,
DPABHUSHAN,"CDGS, BSE CD",,,
DPSCLTD,"POWER, UTILS, FIN",,,
DPWIRES,"METAL, COMDTY, INDSTR, CDGS",,,
DREAMFOLKS,"BSE CG, INDSTR, BSE IT",,,
DREDGECORP,ENERGY,,,
DRREDDY,BSE HC,,,
DSSL,"BSE IT, TECK, CDGS, FIN",,,
DVL,"CDGS, COMDTY, INDSTR",,,
DWARKESH,BSEFMC,,,
DYCL,"BSE CG, INDSTR",,,
DYNAMATECH,INDSTR,,,
E2E,"CDGS, BSE CD, BSE CG, INDSTR, TECK, TELCOM, BSE IT",,,
EASEMYTRIP,CDGS,,,
ECLERX,"BSE IT, TECK, CDGS, FIN",,,
EDELWEISS,FIN,,,
EICHERMOT,"AUTO, CDGS",,,
EIDPARRY,COMDTY,,,
EIHAHOTELS,CDGS,,,
EIHOTEL,CDGS,,,
EIMCOELECO,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
EKC,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
ELDEHSG,"CDGS, REALTY, INDSTR",,,
ELECON,INDSTR,,,
ELECTCAST,INDSTR,,,
ELGIEQUIP,"BSE CG, INDSTR",,,
ELIN,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
EMAMILTD,BSEFMC,,,
EMAMIPAP,COMDTY,,,
EMIL,CDGS,,,
EMSLIMITED,UTILS,,,
EMUDHRA,BSE IT,,,
ENDURANCE,CDGS,,,
ENGINERSIN,INDSTR,,,
ENIL,"CDGS, TECK",,,
ENTERO,"COMDTY, BSEFMC",,,
EPACK,"CDGS, BSE CD, BSE CG, INDSTR, TECK, TELCOM, BSE IT",,,
EPIGRAL,COMDTY,,,
EPL,INDSTR,,,
EQUITASBNK,FIN,,,
ERIS,BSE HC,,,
ESABINDIA,INDSTR,,,
ESAFSFB,FIN,,,
ESCORTS,INDSTR,,,
ESSARSHPNG,ENERGY,,,
ESTER,INDSTR,,,
ETHOSLTD,CDGS,,,
EVEREADY,BSEFMC,,,
EVERESTIND,COMDTY,,,
EXCELINDUS,COMDTY,,,
EXICOM,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
EXIDEIND,CDGS,,,
EXPLEOSOL,BSE IT,,,
FACT,"CDGS, COMDTY, INDSTR",,,
FAIRCHEMOR,COMDTY,,,
FAZE3Q,"CDGS, REALTY, BSE CG, INDSTR",,,
FCL,COMDTY,,,
FCSSOFT,"BSE IT, TECK, CDGS, FIN",,,
FDC,BSE HC,,,
FEDERALBNK,"BANKEX, FIN",,,
FEDFINA,FIN,,,
FIEMIND,CDGS,,,
FILATEX,"CDGS, REALTY, BSE CG, INDSTR",,,
FILATFASH,"CDGS, REALTY, BSE CG, INDSTR",,,
FINCABLES,"BSE CG, INDSTR",,,
FINEORG,COMDTY,,,
FINOPB,FIN,,,
FINPIPE,INDSTR,,,
FIVESTAR,FIN,,,
FLAIR,BSEFMC,,,
FLUOROCHEM,COMDTY,,,
FMGOETZE,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
FOCUS,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
FOODSIN,BSEFMC,,,
FORCEMOT,CDGS,,,
FORTIS,BSE HC,,,
FOSECOIND,COMDTY,,,
FSL,"BSE IT, TECK, CDGS, FIN",,,
FUSION,FIN,,,
GABRIEL,CDGS,,,
GAEL,BSEFMC,,,
GAIL,"OILGAS, ENERGY",,,
GALAXYSURF,COMDTY,,,
GALLANTT,INDSTR,,,
GANDHAR,ENERGY,,,
GANDHITUBE,"METAL, COMDTY, INDSTR, CDGS",,,
GANECOS,CDGS,,,
GANESHBE,ENERGY,,,
GANESHHOUC,CDGS,,,
GARFIBRES,CDGS,,,
GATEWAY,ENERGY,,,
GEECEE,"CDGS, REALTY, INDSTR",,,
GENESYS,BSE IT,,,
GENSOL,"BSE CG, INDSTR",,,
GENUSPAPER,COMDTY,,,
GENUSPOWER,INDSTR,,,
GEOJITFSL,FIN,,,
GEPIL,INDSTR,,,
GESHIP,ENERGY,,,
GET&D,INDSTR,,,
GFLLIMITED,FIN,,,
GHCL,COMDTY,,,
GHCLTEXTIL,"CDGS, REALTY, BSE CG, INDSTR",,,
GICHSGFIN,FIN,,,
GICRE,FIN,,,
GILLETTE,BSEFMC,,,
GIPCL,UTILS,,,
GLAND,BSE HC,,,
